all_other_loans,candidate_contribution,cash_on_hand_beginning_period,committee_designation,committee_designation_full,committee_id,committee_name,committee_state,committee_type,committee_type_full,contribution_refunds,contributions,coverage_end_date,coverage_start_date,cycle,disbursements,filing_frequency,filing_frequency_full,first_f1_date,first_file_date,individual_contributions,individual_itemized_contributions,individual_unitemized_contributions,last_beginning_image_number,last_cash_on_hand_end_period,last_debts_owed_by_committee,last_debts_owed_to_committee,last_report_type_full,last_report_year,loan_repayments,loan_repayments_candidate_loans,loan_repayments_other_loans,loans,loans_made_by_candidate,net_contributions,net_operating_expenditures,offsets_to_operating_expenditures,operating_expenditures,organization_type,organization_type_full,other_disbursements,other_political_committee_contributions,other_receipts,party_full,political_party_committee_contributions,receipts,refunded_individual_contributions,refunded_other_political_committee_contributions,refunded_political_party_committee_contributions,transaction_coverage_date,transfers_from_other_authorized_committee,transfers_to_other_authorized_committee,treasurer_name
0.0,472.5,0.0,P,Principal campaign committee,C00952861,JILLIAN FOR FLORIDA,FL,H,House,0.0,472.5,2026-06-30T00:00:00,2026-06-08T00:00:00,2026,472.5,T,Terminated,2026-06-08,2026-06-08,0.0,0.0,0.0,202607159875087078,0.0,0.0,0.0,TERMINATION REPORT,2026,0.0,0.0,0.0,0.0,0.0,472.5,472.5,0.0,472.5,,,0.0,0.0,0.0,REPUBLICAN PARTY,0.0,472.5,0.0,0.0,0.0,2026-06-30,0.0,0.0,"SATTERFIELD, DAVID"
,,315678.51,U,Unauthorized,C00468256,HOOSIERDOC PAC,IN,H,House,0.0,0.0,2025-02-14T00:00:00,2025-01-01T00:00:00,2026,315678.51,A,Administratively terminated,2009-10-08,2009-10-08,0.0,0.0,0.0,202502149753430841,0.0,0.0,0.0,TERMINATION REPORT,2025,,,0.0,,,0.0,33289.94,0.0,33289.94,,,418.96,0.0,0.0,REPUBLICAN PARTY,0.0,0.0,0.0,0.0,0.0,2025-02-14,0.0,281969.61,"WRIGHT, JOHN L."
0.0,0.0,5829.78,P,Principal campaign committee,C00469882,KILILI FOR CONGRESS,MP,H,House,0.0,0.0,2025-09-30T00:00:00,2025-01-01T00:00:00,2026,5829.78,T,Terminated,2009-09-17,2009-09-17,0.0,0.0,0.0,202510129790748182,0.0,0.0,0.0,TERMINATION REPORT,2025,0.0,0.0,0.0,0.0,0.0,0.0,5829.78,0.0,5829.78,,,0.0,0.0,0.0,INDEPENDENT,0.0,0.0,0.0,0.0,0.0,2025-09-30,0.0,0.0,"SABLAN, RUTH T."
0.0,400.0,0.0,P,Principal campaign committee,C00944223,DONALD PAY FOR CONGRESS,KY,H,House,0.0,3146.28,2026-07-01T00:00:00,2026-01-01T00:00:00,2026,3146.28,T,Terminated,2026-03-19,2026-03-19,2746.28,1750.0,996.28,202607109874862867,0.0,0.0,0.0,TERMINATION REPORT,2026,0.0,0.0,0.0,0.0,0.0,3146.28,3146.28,0.0,3146.28,,,0.0,0.0,0.0,REPUBLICAN PARTY,0.0,3146.28,0.0,0.0,0.0,2026-07-01,0.0,0.0,"SMITH, DALE"
0.0,0.0,5135.54,P,Principal campaign committee,C00476192,"HOOSIERS FOR ROKITA, INC.",IN,S,Senate,0.0,0.0,2026-09-30T00:00:00,2025-01-01T00:00:00,2026,5135.54,A,Administratively terminated,2010-02-12,2010-02-12,0.0,0.0,0.0,202604159862894283,5135.54,0.0,0.0,OCTOBER QUARTERLY,2026,0.0,0.0,0.0,0.0,0.0,0.0,5135.54,0.0,5135.54,,,0.0,0.0,0.0,REPUBLICAN PARTY,0.0,0.0,0.0,0.0,0.0,2026-09-30,0.0,0.0,"BONDERMAN, REGAN MARIE MRS."
0.0,0.0,36476.76,P,Principal campaign committee,C00468405,ROBERT HURT FOR CONGRESS,VA,H,House,0.0,0.0,2026-07-15T00:00:00,2025-01-01T00:00:00,2026,22955.0,Q,Quarterly filer,2009-10-07,2009-10-07,0.0,0.0,0.0,202607239894421649,13527.29,0.0,0.0,PRE-PRIMARY,2026,0.0,0.0,0.0,0.0,0.0,0.0,2955.0,0.0,2955.0,,,20000.0,0.0,5.53,REPUBLICAN PARTY,0.0,5.53,0.0,0.0,0.0,2026-07-15,0.0,0.0,"SELPH, JOHN G."
0.0,0.0,328322.03,P,Principal campaign committee,C00661561,"BEN CLINE FOR CONGRESS, INC.",VA,H,House,3000.0,1323682.06,2026-07-15T00:00:00,2025-01-01T00:00:00,2026,1058316.84,Q,Quarterly filer,2017-11-27,2017-11-27,725922.38,679098.79,46823.59,202607239894442231,711441.57,0.0,0.0,PRE-PRIMARY,2026,0.0,0.0,0.0,0.0,0.0,1320682.06,853162.52,154.32,853316.84,,,202000.0,597759.68,0.0,REPUBLICAN PARTY,0.0,1441436.38,3000.0,0.0,0.0,2026-07-15,117600.0,0.0,"MCMENAMIN, LAURA"
0.0,0.0,-1195.79,P,Principal campaign committee,C00477190,BILL LYNCH FOR CONGRESS,RI,H,House,0.0,0.0,2026-03-31T00:00:00,2025-01-01T00:00:00,2026,0.0,A,Administratively terminated,2010-02-22,2010-02-22,0.0,0.0,0.0,202604069856987818,-1195.79,107500.0,0.0,APRIL QUARTERLY,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,DEMOCRATIC PARTY,0.0,0.0,0.0,0.0,0.0,2026-03-31,0.0,0.0,"GALVIN, EDWARD"
0.0,16500.0,-11.26,P,Principal campaign committee,C00477323,PALAZZO FOR CONGRESS,MS,H,House,0.0,16500.0,2025-06-30T00:00:00,2025-01-01T00:00:00,2026,16488.74,T,Terminated,2010-02-26,2010-02-26,0.0,0.0,0.0,202505169761332206,0.0,0.0,0.0,TERMINATION REPORT,2025,0.0,0.0,0.0,0.0,0.0,16500.0,16488.74,0.0,16488.74,,,0.0,0.0,0.0,REPUBLICAN PARTY,0.0,16500.0,0.0,0.0,0.0,2025-06-30,0.0,0.0,"KILGORE, PAUL"
0.0,0.0,0.0,P,Principal campaign committee,C00480194,CARDARELLI FOR CONGRESS,MD,H,House,0.0,0.0,2026-03-31T00:00:00,2025-01-01T00:00:00,2026,0.0,Q,Quarterly filer,2010-04-02,2010-04-02,0.0,0.0,0.0,202604210300525871,0.0,0.0,0.0,APRIL QUARTERLY,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,REPUBLICAN PARTY,0.0,0.0,0.0,0.0,0.0,2025-09-30,0.0,0.0,RICHARD JOHN POLICE
